data_generare,topic_id,pilon_serviciu,declansator_psihologic,fisier_draft,status_aprobare,data_postare,performanta_note
2026-08-27,1,audit_factura,curiozitate,reduco-growth/content/drafts/2026-08-27-id1.md,pending_review,,
2026-08-28,2,racordare_atr,contra_intuitiv,reduco-growth/content/drafts/2026-08-28-id2.md,pending_review,,
2026-08-31,3,litigii_anre,dovada_sociala,reduco-growth/content/drafts/2026-08-31-id3.md,pending_review,,
2026-09-02,4,abonament_persoane_juridice,aversiune_pierdere,reduco-growth/content/drafts/2026-09-02-id4.md,pending_review,,
2026-09-04,5,prosumatori,autoritate,reduco-growth/content/drafts/2026-09-04-id5.md,pending_review,,
2026-09-07,6,audit_factura,dovada_sociala,reduco-growth/content/drafts/2026-09-07-id6.md,pending_review,,
2026-09-09,7,racordare_atr,curiozitate,reduco-growth/content/drafts/2026-09-09-id7.md,pending_review,,
2026-09-11,8,litigii_anre,aversiune_pierdere,reduco-growth/content/drafts/2026-09-11-id8.md,pending_review,,
2026-09-14,9,prosumatori,contra_intuitiv,reduco-growth/content/drafts/2026-09-14-id9.md,pending_review,,
2026-09-16,10,abonament_persoane_juridice,reciprocitate,reduco-growth/content/drafts/2026-09-16-id10.md,pending_review,,
